route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
WES-RAI-1827,357,4611276,1,Whitfords Stn,103031
WES-RAI-1827,357,4611277,1,Whitfords Stn,103031
WES-RAI-1827,357,4611278,1,Whitfords Stn,103031
WES-RAI-1827,357,4611279,1,Whitfords Stn,103031
WES-RAI-1827,357,4611280,1,Whitfords Stn,103031
WES-RAI-1827,357,4611281,1,Whitfords Stn,103031
WES-RAI-1827,357,4611282,1,Whitfords Stn,103031
WES-RAI-1827,357,4611247,0,Elizabeth Quay Stn,103032
WES-RAI-1827,357,4611248,0,Elizabeth Quay Stn,103032
WES-RAI-1827,357,4611249,0,Elizabeth Quay Stn,103032
WES-RAI-1827,357,4611250,0,Elizabeth Quay Stn,103032
WES-RAI-1827,357,4611251,0,Elizabeth Quay Stn,103032
WES-RAI-1827,357,4611252,0,Elizabeth Quay Stn,103032
WES-RAI-1827,357,4611253,0,Elizabeth Quay Stn,103032
WES-RAI-1827,357,4611254,0,Elizabeth Quay Stn,103032
WES-RAI-1827,357,4611129,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611130,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611131,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611132,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611133,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611134,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611135,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611136,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611137,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611138,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611139,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611140,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611141,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611142,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611143,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611144,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611145,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611146,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611147,0,Elizabeth Quay Stn,103033
WES-RAI-1827,357,4611148,0,Elizabeth Quay Stn,103033
WES-RAI-1827,371,4611710,1,Yanchep Stn,103036
WES-RAI-1865,360,4611380,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611381,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611382,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611383,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611384,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611385,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611386,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611387,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611388,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611389,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611390,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611391,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611392,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611393,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611394,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611395,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611396,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611397,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611398,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611399,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611400,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611401,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611402,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611403,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611404,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611405,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611406,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611407,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611408,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611409,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611410,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611411,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611412,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611413,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611414,1,Cockburn Central Stn,103039
WES-RAI-1865,360,4611415,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611416,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611417,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611418,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611419,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611420,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611421,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611422,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611423,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611424,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611425,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611426,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611427,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611428,0,Perth Underground Stn,103041
